CK   PC+4_pID     IR_reg    sext_imm  Rs,Rt,Rd,Funct  RegWrite,RsEqRt GPRrddata1 GPRrddata2  ALUsrcB_pEX      A_reg      B_reg    sext_imm_reg ALU_output      ALUout_reg  RD,RegWrite_pWB
       rdbk0       rdbk1       rdbk2       rdbk3       	  rdbk4       rdbk5       rdbk6       rdbk7          rdbk8       rdbk9       rdbk10       rdbk11         rdbk12       rdbk13      rdbk14       rdbk15      
101  x"00400154" x"11E00004" x"00000004" x"0F000004"     x"00000000" x"00000001" x"00000000" x"1000003F"     x"00000001" x"00000001" x"FFFFFFFF" x"00000000"     x"00000000" x"00000001"   
102  x"00400158" x"00000000" x"00000000" x"00000000"     x"10000001" x"00000000" x"00000000" x"00000104"     x"00000001" x"00000000" x"00000004" x"00000001"     x"00000000" x"000F0001"   
103  x"0040015C" x"00000000" x"00000000" x"00000000"     x"10000001" x"00000000" x"00000000" x"00000200"     x"00000000" x"00000000" x"00000000" x"00000000"     x"00000001" x"00000000"   
104  x"00400160" x"08100051" x"00000051" x"00100011"     x"00000000" x"00000000" x"00000003" x"00000200"     x"00000000" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000001"   
105  x"00400160" x"08100051" x"00000051" x"00100011"     x"00000000" x"00000000" x"00000003" x"00000200"     x"00000000" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000001"   
106  x"00400160" x"08100051" x"00000051" x"00100011"     x"00000000" x"00000000" x"00000003" x"00000200"     x"00000000" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000001"   
107  x"00400164" x"00000000" x"00000000" x"00000000"     x"10000001" x"00000000" x"00000000" x"00000011"     x"00000000" x"00000003" x"00000051" x"00000003"     x"00000000" x"00000001"   
108  x"00400148" x"22100001" x"00000001" x"10100001"     x"10000001" x"00000003" x"00000003" x"00000200"     x"00000000" x"00000000" x"00000000" x"00000000"     x"00000003" x"00100000"   
109  x"0040014C" x"00000000" x"00000000" x"00000000"     x"10000001" x"00000000" x"00000000" x"10000001"     x"00000003" x"00000003" x"00000001" x"00000004"     x"00000000" x"00000001"   
110  x"00400150" x"21EFFFFF" x"FFFFFFFF" x"0F0F1F3F"     x"10000001" x"00000000" x"00000000" x"00000200"     x"00000000" x"00000000" x"00000000" x"00000000"     x"00000004" x"00100001"   
111  x"00400154" x"11E00004" x"00000004" x"0F000004"     x"00000001" x"00000000" x"00000000" x"1000003F"     x"00000000" x"00000000" x"FFFFFFFF" x"FFFFFFFF"     x"00000000" x"00000001"   
112  x"00400158" x"00000000" x"00000000" x"00000000"     x"10000001" x"00000000" x"00000000" x"00000104"     x"00000000" x"00000000" x"00000004" x"00000000"     x"FFFFFFFF" x"000F0001"   
113  x"00400168" x"08100059" x"00000059" x"00100019"     x"00000000" x"00000000" x"00000004" x"00000200"     x"00000000" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000"   
114  x"0040016C" x"00000000" x"00000000" x"00000000"     x"10000001" x"00000000" x"00000000" x"00000019"     x"00000000" x"00000004" x"00000059" x"00000004"     x"00000000" x"00000001"   
115  x"0040016C" x"00000000" x"00000000" x"00000000"     x"10000001" x"00000000" x"00000000" x"00000019"     x"00000000" x"00000004" x"00000059" x"00000004"     x"00000000" x"00000001"   
116  x"00400168" x"08100059" x"00000059" x"00100019"     x"00000000" x"00000000" x"00000004" x"00000200"     x"00000000" x"00000000" x"00000000" x"00000000"     x"00000004" x"00100000"   
117  x"0040016C" x"00000000" x"00000000" x"00000000"     x"10000001" x"00000000" x"00000000" x"00000019"     x"00000000" x"00000004" x"00000059" x"00000004"     x"00000000" x"00000001"   
118  x"00400168" x"08100059" x"00000059" x"00100019"     x"00000000" x"00000000" x"00000004" x"00000200"     x"00000000" x"00000000" x"00000000" x"00000000"     x"00000004" x"00100000"   
119  x"0040016C" x"00000000" x"00000000" x"00000000"     x"10000001" x"00000000" x"00000000" x"00000019"     x"00000000" x"00000004" x"00000059" x"00000004"     x"00000000" x"00000001"   
120  x"00400168" x"08100059" x"00000059" x"00100019"     x"00000000" x"00000000" x"00000004" x"00000200"     x"00000000" x"00000000" x"00000000" x"00000000"     x"00000004" x"00100000"   
